;m1  Красная
Девяткино  m1
Гражданский проспект  m1
Академическая  m1
Политехническая  m1
Площадь мужества  m1
Лесная  m1
Выборгская  m1
Площадь Ленина  m1
Чернышевская  m1
Площадь Восстания  m1
Владимирская  m1
Пушкинская  m1
Технологический институт  m1
Балтийская  m1
Нарвская  m1
Кировский завод  m1
Автово  m1
Ленинский проспект  m1
Проспект ветеранов  m1

;m2  Синяя
Парнас  m2
Проспект просвещения  m2
Озерки  m2
Удельная  m2
Пионерская  m2
Черная речка  m2
Петроградская  m2
Горьковская  m2
Невский проспект  m2
Сенная площадь  m2
Технологический институт 2  m2
Фрунзенская  m2
Московские ворота  m2
Электросила  m2
Парк победы  m2
Московская  m2
Звездная  m2
Купчино  m2

;m3  Зеленая
Приморская  m3
Василеостровская  m3
Гостиный двор  m3
Маяковская  m3
Площадь Александра Невского  m3
Елизаровская  m3
Ломоносовская  m3
Пролетарская  m3
Обухово  m3
Рыбацкое  m3

;m4  Оранжевая
Спасская  m4
Достоевская  m4
Лиговский проспект  m4
Новочеркасская  m4
Ладожская  m4
Проспект большевиков  m4
Улица дыбенко  m4

;М5  Фиолетовая
Комендантский проспект  m5
Старая деревня  m5
Крестовский остров  m5
Чкаловская  m5
Спортивная  m5
Адмиралтейская  m5
Садовая  m5
Звенигородская  m5
Обводный канал  m5
Волковская  m5
Бухарестская  m5
Международная  m5
